"sucursal	articulo	cantidad	total"
"madero	TRADITION 500GR                                                                                                         	8	19600"
"madero	TRADITION 500GR                                                                                                         	3	8100"
"madero	TRADITION BAGUETTE 330G                                                                                                 	14	23100"
"madero	TRADITION BAGUETTE 330G                                                                                                 	27	44550"
"madero	TRADITION BAGUETTE 330G                                                                                                 	14	23100"
"madero	TRADITION BAGUETTE 330G                                                                                                 	10	16500"
"madero	TRADITION BAGUETTE 330G                                                                                                 	6	9900"
"san telmo	Bondiola  empanadas                                                                                                     	6	10500"
"san telmo	CANNELE                                                                                                                 	9	17550"
"san telmo	CANNELE                                                                                                                 	10	19500"
"san telmo	CANNELE                                                                                                                 	14	27300"
"san telmo	CANNELE                                                                                                                 	14	27300"
"san telmo	CANNELE                                                                                                                 	6	11700"
"san telmo	CARROT CAKE  SIN TACC                                                                                            	3	10350"
"san telmo	CARROT CAKE  SIN TACC                                                                                            	4	13800"
"san telmo	CARROT CAKE  SIN TACC                                                                                            	3	10350"
"san telmo	CARROT CAKE  SIN TACC                                                                                            	4	13800"
"san telmo	CARROT CAKE  SIN TACC                                                                                            	2	6900"
"san telmo	CHEESE CAKE  SIN TACC                                                                                                	3	10350"
"san telmo	CHEESE CAKE Maracuya                                                                                                    	4	13800"
"san telmo	CHEESE CAKE Maracuya                                                                                                    	3	10350"
"san telmo	CHEESE CAKE Maracuya                                                                                                    	5	17250"
"san telmo	CHEESE CAKE Maracuya                                                                                                    	1	3450"
"san telmo	Ciabatta                                                                                                                	19	23750"
"san telmo	Ciabatta                                                                                                                	18	22500"
"san telmo	Ciabatta                                                                                                                	28	35000"
